match_id,Team1,Team2,match_date,Season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,man_of_match
336015,Kolkata Knight Riders,Royal Challengers Bangalore,5/8/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly
336016,Rajasthan Royals,Deccan Chargers,5/9/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan
336017,Royal Challengers Bangalore,Mumbai Indians,5/28/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,CRD Fernando
336018,Chennai Super Kings,Kings XI Punjab,5/10/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kings XI Punjab,Chennai Super Kings,field,runs,Result,L Balaji
336019,Deccan Chargers,Kolkata Knight Riders,5/11/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly
336020,Rajasthan Royals,Delhi Daredevils,5/11/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SR Watson
336021,Kings XI Punjab,Royal Challengers Bangalore,5/12/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Royal Challengers Bangalore,Kings XI Punjab,bat,wickets,Result,SE Marsh
336022,Kolkata Knight Riders,Delhi Daredevils,5/13/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,Shoaib Akhtar
336023,Mumbai Indians,Chennai Super Kings,5/14/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,ST Jayasuriya
336024,Kings XI Punjab,Rajasthan Royals,5/28/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Kings XI Punjab,field,runs,Result,SE Marsh
336025,Delhi Daredevils,Deccan Chargers,5/15/2008,2008,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Delhi Daredevils,field,runs,Result,A Mishra
336026,Mumbai Indians,Kolkata Knight Riders,5/16/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,SM Pollock
336027,Delhi Daredevils,Kings XI Punjab,5/17/2008,2008,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kings XI Punjab,bat,runs,Result,DPMD Jayawardene
336028,Rajasthan Royals,Royal Challengers Bangalore,5/17/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Royal Challengers Bangalore,Rajasthan Royals,field,runs,Result,GC Smith
336029,Deccan Chargers,Mumbai Indians,5/18/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Mumbai Indians,field,runs,Result,DJ Bravo
336030,Kolkata Knight Riders,Chennai Super Kings,5/18/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Chennai Super Kings,bat,runs,Result,M Ntini
336031,Royal Challengers Bangalore,Delhi Daredevils,5/19/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,SP Goswami
336032,Kolkata Knight Riders,Rajasthan Royals,5/20/2008,2008,Eden Gardens,Kolkata,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan
336033,Mumbai Indians,Kings XI Punjab,5/21/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,SE Marsh
336034,Chennai Super Kings,Royal Challengers Bangalore,5/21/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,A Kumble
336036,Kings XI Punjab,Deccan Chargers,5/23/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,SE Marsh
336037,Delhi Daredevils,Mumbai Indians,5/24/2008,2008,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,KD Karthik
336038,Chennai Super Kings,Rajasthan Royals,5/24/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,JA Morkel
336039,Royal Challengers Bangalore,Deccan Chargers,5/3/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Deccan Chargers,Royal Challengers Bangalore,field,runs,Result,P Kumar
336040,Kolkata Knight Riders,Kings XI Punjab,5/25/2008,2008,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,bat,wickets,Result,Umar Gul
336041,Rajasthan Royals,Mumbai Indians,5/26/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,Sohail Tanvir
